名称,名称_カナ,名称_英字,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
神保緑地,ジンボウリョクチ,jimboryokuchi,金沢市三社町373番地11,石川県,金沢市,三社町,373番地11,,36.5699537,136.642311,12,,,1,,1,1,,,,,,,,,,
デイサービスセンター玉川苑,デイサービスセンタータマガワエン,deisabisusentatamagawaen,金沢市芳斉２丁目３番28号,石川県,金沢市,芳斉2丁目,3番28号,,36.57199978,136.6499908,12.1,,1,1,,1,1,,,,1,,,,,,
金沢市芳斎公民館,カナザワシホウサイコウミンカン,kanazawashihosaikominkan,金沢市芳斉２丁目３番29号,石川県,金沢市,芳斉2丁目,3番29号,,36.571991,136.649815,12.1,,1,1,,1,1,,,,1,,,,,,
金沢市女性センター,カナザワシジョセイセンター,kanazawashijoseisenta,金沢市三社町１番44号,石川県,金沢市,三社町,1番44号,,36.57050711,136.6455484,11.7,,1,1,,1,1,,,,1,,,,,,
玉川公園,タマガワコウエン,tamagawakoen,金沢市玉川町11番３号,石川県,金沢市,玉川町,11番3号,,36.56907574,136.6508313,13.7,,,1,,1,1,,,,,,,,,,
金沢市此花町公民館,カアンザワシコノハナチョウコウミンカン,kaanzawashikonohanachokominkan,金沢市此花町２番７号,石川県,金沢市,此花町,2番7号,,36.57717463,136.6519152,9.8,,1,1,,1,1,,,,1,,,,,,
此花町緑地,コノハナチョウリョクチ,konohanachoryokuchi,金沢市此花町149番地１,石川県,金沢市,此花町,149番地1,,36.57736937,136.6522762,9.8,,,1,,1,1,,,,,,,,,,
堀川新町公園,ホリカワシンマチコウエン,horikawashimmachikoen,金沢市堀川新町70番地１ほか,石川県,金沢市,堀川新町,70番地ほか,,36.58108288,136.6510406,8.3,,,1,,1,1,,,,,,,,,,
金沢市立明成小学校,カナザワシリツメイセイショウガッコウ,kanazawashiritsumeiseishogakko,金沢市瓢箪町5番48号,石川県,金沢市,瓢箪町,5番48号,,36.57681177,136.6572885,11,,1,1,,1,1,,,,1,,,,,,
金沢市瓢箪町公民館,カナザワシヒョウタンマチコウミンカン,kanazawashihyotammachikominkan,金沢市彦三町２丁目10番５号,石川県,金沢市,彦三町2丁目,10番5号,,36.57577223,136.6573991,12.1,,1,1,,1,1,,,,1,,,,,,
金沢市中央公民館彦三館,カナザワシチュウオウコウミンカンヒコサンカン,kanazawashichuokominkanhikosankan,金沢市彦三町１丁目15番５号,石川県,金沢市,彦三町1丁目,15番5号,,36.57471418,136.6595586,16,,1,1,,1,1,,,,1,,,,,,
金沢市立馬場小学校,カナザワシリツババショウガッコウ,kanazawashiritsubabashogakko,金沢市東山３丁目９番30号,石川県,金沢市,東山3丁目,9番30号,,36.57469694,136.6654887,12.7,,1,1,,1,1,,,,1,,,,,,
金沢市馬場公民館,カナザワシババコウミンカン,kanazawashibabakominkan,金沢市東山３丁目９番35号,石川県,金沢市,東山3丁目,9番35号,,36.57444688,136.6650806,12.3,,1,1,,1,1,,,,1,,,,,,
子来町さくら公園,コライマチサクラコウエン,koraimachisakurakoen,金沢市子来町33番地,石川県,金沢市,子来町,33番地,,36.57223051,136.671725,64.2,,1,1,,1,1,,,,,,,,,,
子来町緑地,コライマチリョクチ,koraimachiryokuchi,金沢市子来町２番地ほか,石川県,金沢市,子来町,2番地ほか,,36.57264566,136.6694463,53.3,,1,1,,1,1,,,,,,,,,,
金沢市立浅野町小学校,カナザワシリツアサノショウガッコウ,kanazawashiritsuasanoshogakko,金沢市京町35番１号,石川県,金沢市,京町,35番1号,,36.58208,136.658873,8,,1,1,,1,1,,,,1,,,,,,
金沢市浅野町公民館,カナザワシアサノマチコウミンカン,kanazawashiasanomachikominkan,金沢市乙丸町甲161番地,石川県,金沢市,乙丸町甲,161番地,,36.586739,136.665312,7.5,,1,1,,1,1,,,,1,,,,,,
元町第３児童公園,モトマチダイサンジドウコウエン,motomachidaisanjidokoen,金沢市元町２丁目137番地ほか,石川県,金沢市,元町2丁目,137番地ほか,,36.58061602,136.6632017,9.6,,,1,,1,1,,,,,,,,,,
浅野本町第２児童公園,アサノホンマチダイニジドウコウエン,asanohommachidainijidokoen,金沢市浅野本町２丁目125番地,石川県,金沢市,浅野本町2丁目,125番地,,36.58426294,136.6608786,8,,,1,,1,1,,,,,,,,,,
浅野本町第３児童公園,アサノホンマチダイサンジドウコウエン,asanohommachidaisanjidokoen,金沢市京町59番地,石川県,金沢市,京町,59番地,,36.58447412,136.6576181,7.4,,,1,,1,1,,,,,,,,,,
金沢市立森山町小学校,カナザワシリツモリヤママチショウガッコウ,kanazawashiritsumoriyamamachishogakko,金沢市森山２丁目13番50号,石川県,金沢市,森山2丁目,13番50号,,36.57836528,136.6681871,11.4,,1,1,,1,1,,,,1,,,,,,
石川県立金沢桜丘高等学校,イシカワケンリツカナザワサクラガオカコウトウガッコウ,ishikawakenritsukanazawasakuragaokakotogakko,金沢市大樋町16番１号,石川県,金沢市,大樋町,16番1号,,36.58336475,136.6789926,43.9,,1,1,,1,1,,,,1,,,,,,
金沢市立鳴和中学校,カナザワシリツナルワチュウガッコウ,kanazawashiritsunaruwachugakko,金沢市鳴和２丁目10番60号,石川県,金沢市,鳴和2丁目,10番60号,,36.58673713,136.6714629,9.6,,1,1,,1,1,,,,1,,,,,,
金沢市営城北市民体育館,カナザワシエイジョウホクシミンタイイクカンン,kanazawashieijohokushimintaiikukann,金沢市鳴和２丁目10番44号,石川県,金沢市,鳴和2丁目,10番44号,,36.58749431,136.6699115,8.2,,,1,,1,1,,,,1,,,,,,
