和暦,西暦,月日,分類,事項,出典
明治四年,1871,2月,社会・文化,金沢藩庁は殿町稲荷橋詰の普請会所を「接賢館」と名づけ館内で新聞会を開いた。これは士農工商の見聞をひろめ商工子弟に内外の新発明や各地の物価の高低等に通じさせるのが目的であって、毎月6の日午前8時から午後4時まで集会を開いた。当時庶民の知見啓発の一方法であったが半歳たらずでやめになった。,金沢の百年　明治編
明治四年,1871,2月,社会・文化,小立野小学所が出羽町3番丁に移った。,金沢の百年　明治編
明治四年,1871,3月4日,社会・文化,和蘭軍医ペ・イア・スロイスが医学館に着任した。,金沢の百年　明治編
明治四年,1871,3月6日,社会・文化,致遠館の語学教師として招かれた英人リッテル・ウォードが金沢へ赴任の途中、大聖寺で天然痘にかかり死去した。30歳。,金沢の百年　明治編
明治四年,1871,3月17日,社会・文化,太政管は大藩に対して士族2人を推薦させて海外視察を命じた。金沢藩から岡田雄次郎と吉井立吉が派遣された。,金沢の百年　明治編
明治四年,1871,3月23日,社会・文化,沼田町の安立寺から出火、六斗林の付近271戸焼失した。のち安立寺は本光寺と合併し立正寺となった。この火事で泉野菅原神社も焼失した。,金沢の百年　明治編
明治四年,1871,3月,社会・文化,鉱山学所教師の独人フォンテル・デッケンに能美郡金平山で試掘をさせた。,金沢の百年　明治編
明治四年,1871,4月,社会・文化,金沢柳町に柳町小学所が開校した。,金沢の百年　明治編
明治四年,1871,4月,社会・文化,これまで堂形前（どうがたまえ）といった通りを「広坂通」と改称した。現在の広坂通である。従来の堂形前という町名の由来は、町内に京都の三十三間堂型の米倉があり、三十三間堂型の建物を堂形と改称したので、堂形の前通りという意味で堂形前といったものである。,金沢の百年　明治編
明治四年,1871,5月,社会・文化,上百々女木の献珠寺を購入して百々女木小学所を創設し、出羽町小学所生徒の一部を転校させた。,金沢の百年　明治編
明治四年,1871,5月,社会・文化,卯辰山の芝居小屋を東馬場町に移転した。,金沢の百年　明治編
明治四年,1871,5月,社会・文化,上堤町44番地金襴商城森文次が大阪から人力車一両を買い、金沢市中を乗りまわした。これが金沢での人力車のはじめである。,金沢の百年　明治編
明治四年,1871,6月,社会・文化,川上新町に新たに芝居小屋ができ舞台開きがあった。これは末吉座の復旧したもの。,金沢の百年　明治編
明治四年,1871,6月,社会・文化,金沢藩は英人エドウイン・サイモンソンを雇用して中学東校の正則の学生に数学、英語を教授させた。英人雇用は浅津渉（後の南郷茂光）が交渉にあたった。サイモンソンの月俸はメキシコ銀200ドルに相当する邦貨だった。,金沢の百年　明治編
明治四年,1871,7月10日,社会・文化,旧村井邸でフランス学と航海学の学校が開設された。,金沢の百年　明治編
明治四年,1871,7月27日,社会・文化,兼六園内の時雨亭跡に舎密方という一局を設けて製薬をした。同時に金沢理化学校が開設され医学館生徒の理化学はここで教授した。,金沢の百年　明治編
明治四年,1871,7月,社会・文化,上柿木畠の壮猶館が廃止された。安政元年以来藩士に西洋学術を教え火薬も製造した。,金沢の百年　明治編
明治四年,1871,7月,社会・文化,太政官の命令で大小神社が氏子を調査し、氏子に木製の守札を渡す事になった。,金沢の百年　明治編
明治四年,1871,8月,社会・文化,政府は人民に散髪を命じた。金沢では大屋愷アツ、岡田雄巣が卒先して散髪し、結髪者を驚かせた。,金沢の百年　明治編
明治四年,1871,9月22日,社会・文化,金沢営所の各隊は午前10時卯辰山に整列し鉄砲を放って天長節を拝賀した。これは金沢の祝砲のはじめである。（明治6年以後天長節は太陽暦により11月3日になった）,金沢の百年　明治編
明治四年,1871,9月,社会・文化,医師高峰精一（文政10年6月生）が金沢で初めて洋服を着用した。,金沢の百年　明治編
明治四年,1871,9月,社会・文化,元壮猶館教師佐野鼎が東京神田に共立学校（開成中学校の前身）を開いた。同校は初め前田家の助力で金沢に創設しようとしたものである。,金沢の百年　明治編
明治四年,1871,11月,社会・文化,中学東校と中学西校を合せて金沢中学校とし、西校を校舎に用いた。,金沢の百年　明治編
明治四年,1871,12月12日,社会・文化,本多家臣諏訪八郎自殺。原因は本多政均暗殺者の一党石黒圭三郎（後の桂正直）の所在探索を同志から託されたが、不成功に終ったことを恥じたものとみられる。,金沢の百年　明治編
明治四年,1871,12月,社会・文化,金沢最初の新聞「開化新聞」を吉本次郎兵衛が発行した。（月に3回発行、木版）。次郎兵衛は料理仕出しを業としていた。,金沢の百年　明治編
明治四年,1871,12月,社会・文化,"本年末までに金沢で11の小学所が設立された。生徒数合計は2,304人。",金沢の百年　明治編
明治四年,1871,12月,社会・文化,金沢県は金沢中学校の生徒3人を選抜して東京に留学させた。,金沢の百年　明治編
明治四年,1871,12月,社会・文化,泉新町の奥泉伊兵衛（多葉粉屋）が隣保50戸に白米2升ずつを施した。,金沢の百年　明治編
明治四年,1871,月日未詳,社会・文化,河原町小学所を茜屋小路（里見町）に移した。（5年5月区学校規則の発布により竪町区学校と改称）,金沢の百年　明治編
明治四年,1871,月日未詳,社会・文化,安江町近田書店から「広集字書」「新撰画引字書大全」「広益玉篇」が刊行された。,金沢の百年　明治編
明治四年,1871,月日未詳,社会・文化,元壮猶館主附小幡和平（文政元年1月生）が「洋貨図録」を刊行した。,金沢の百年　明治編
明治四年,1871,月日未詳,社会・文化,旧藩士前田肇と久田宗兵衛が卯辰山の鶯谷に陶窯を築いて雅品を出した。陶工横萩一光（富山県人、京都で製陶を習得）が来て従事した。,金沢の百年　明治編
明治四年,1871,月日未詳,社会・文化,大屋愷アツが「星学初歩」を刊行した。また芝木昌平が「星学初歩附録」を刊行した。,金沢の百年　明治編
明治五年,1872,1月28日,政治・経済,金沢県は捕亡卒を邏卒と改称し、各区会所に配置して警備に当らせた。,金沢の百年　明治編
明治五年,1872,1月,政治・経済,（身分制度が改変されて族籍は華族、士族、平民の3種になった。）,金沢の百年　明治編
明治五年,1872,2月,政治・経済,金沢県を石川県と改め県庁を金沢から美川町（本吉村）に移すことにした。金沢には出張所を置く旨布告された。,金沢の百年　明治編
明治五年,1872,4月1日,政治・経済,石川郡金石郵便局が設置された。,金沢の百年　明治編
明治五年,1872,4月1日,政治・経済,県庁内の郵便取扱所が橋場町の吉村又三方に移され郵便役所と改称された。（これは後年の三党局のように委託経営させたものと思われる）また市中には郵便凾場（ポスト）が元県庁前、区会所内、野町3丁目、河南町（片町の一部）宝船寺町広見、新竪町2丁目、専光寺辻（英町の一部）中石引町、高道町、笠市町、橋場町に設けられた。,金沢の百年　明治編
明治五年,1872,4月20日,政治・経済,石川県庁が美川町に移った。（執務は22日開始）本庁直管＝能美郡全区、石川郡全区。金沢出張所＝金沢全区、河北郡全区。大聖寺出張所＝江沼郡全区、能美郡内の元大聖寺県管下。,金沢の百年　明治編
明治五年,1872,5月,政治・経済,横安江町極楽橋詰の茶商林屋某が付近川端の土手続きを請地して茶園とした。,金沢の百年　明治編
明治五年,1872,5月,政治・経済,河北潟沿岸洲崎から内日角に至る間に人力車と通船が置かれ便利になった。市内でも人力車の利用が次第にふえて来た。,金沢の百年　明治編
明治五年,1872,6月,政治・経済,（従来名前は通称と名乗の両種を使用したが、今後は一つの名称だけにするよう布告された。）,金沢の百年　明治編
明治五年,1872,7月7日,政治・経済,石川県参事内田政風の私宅を襲撃しようと計る者があったが、警戒厳重で実行されなかった。,金沢の百年　明治編
明治五年,1872,7月,政治・経済,石川県内が区制となり金沢は第8区より第14区までの7区制に改められた。,金沢の百年　明治編
